,High,Low,Open,Close,Volume,Adj Close
20070720,15013,11831,13055,15015,1446237,
20070723,17258,15708,15830,17259,328013,
20070724,19827,17257,19827,17953,1061353,
20070725,18768,16238,17544,17218,568748,
20070726,19786,17665,18114,19177,857569,
20070727,19786,16319,18848,16892,450611,
20070730,16727,15462,16320,16320,219975,
20070731,17054,15748,16401,15830,180999,
20070801,16359,13462,15502,13628,279189,
20070802,14442,12443,14196,13465,212384,
20070803,15096,13260,13831,14117,270222,
20070806,13830,12034,13503,12036,517492,
20070807,12401,10280,12238,10568,937209,
20070808,11219,10443,10607,10527,306523,
20070809,12075,10973,11055,12077,304649,
20070810,13872,12525,12648,13872,927685,
20070813,14891,12688,14524,12893,683465,
20070814,14034,11667,13259,11751,484119,
20070816,11097,9996,10934,9996,234404,
20070817,10077,8526,9628,8772,375180,
20070820,10076,9219,9301,10078,394562,
20070821,10607,9546,9954,10200,465322,
20070822,10444,9913,10159,9955,193629,
20070823,11422,10239,10443,11424,733594,
20070824,11953,10892,11626,11424,569061,
20070827,11913,11261,11749,11383,319117,
20070828,12484,11178,11626,11180,552534,
20070829,10852,10159,10525,10730,384043,
20070830,11504,10688,11096,10976,267247,
20070831,11832,11097,11097,11261,257193,
20070903,12076,11383,11546,11873,205982,
20070904,11790,11301,11790,11342,128900,
20070905,11586,10567,11546,10608,189937,
20070906,10688,10035,10688,10364,158230,
20070907,10892,10361,10566,10568,185039,
20070910,10199,9710,10199,9711,220358,
20070911,9995,9259,9872,9466,161612,
20070912,10811,9628,9628,9996,404083,
20070913,10035,9546,9954,9915,114482,
20070914,10974,9913,10036,10445,272517,
20070917,10567,9996,10444,10282,82156,
20070918,10402,9586,10239,9629,145947,
20070919,10118,9220,9913,9221,176256,
20070920,9098,8282,8894,8894,459576,
20070921,9056,8647,8893,8813,108143,
20070927,9219,8771,8974,8813,99872,
20070928,10118,8935,8935,9547,811824,
20071001,9873,9384,9424,9711,381833,
20071002,11136,10117,10117,10200,1091904,
20071004,11137,10362,10362,10445,309370,
20071005,10567,9669,10362,9711,275506,
20071008,10688,9464,9954,10364,308838,
20071009,10648,9628,10525,9833,369233,
20071010,10118,9424,9873,9506,170322,
20071011,10893,9628,9669,10894,869096,
20071012,11953,10729,11260,10853,898778,
20071015,12402,10648,11137,12159,968041,
20071016,13097,11261,11954,11261,699612,
20071017,11748,10402,11341,10690,380573,
20071018,12158,10689,10852,11261,878084,
20071019,12360,11260,11463,11465,623155,
20071022,10973,9790,10607,10364,276630,
20071023,11382,10524,10770,11302,260560,
20071024,11872,10524,11463,10649,305833,
20071025,11668,10689,10893,11669,269415,
20071026,12116,11300,11667,11588,410519,
20071029,12117,11261,11832,11261,420660,
20071030,11300,10361,11260,10690,425517,
20071031,11423,10567,10730,11220,279094,
20071101,11504,10851,11260,11424,226894,
20071102,11219,10729,10973,10853,183142,
20071105,11056,10444,10934,10608,149058,
20071106,10647,10076,10647,10241,188864,
20071107,10444,9343,10362,9547,324171,
20071108,9749,9056,9178,9303,131336,
20071109,10567,9384,9384,10282,273415,
20071112,10036,9424,10036,9506,104790,
20071113,10036,9260,9424,9506,101018,
20071114,10484,9627,9872,9629,225643,
20071115,9871,9301,9749,9303,127624,
20071116,9668,9137,9342,9425,92089,
20071119,9709,9259,9546,9303,66776,
20071120,9179,8689,9057,8894,117430,
20071121,9057,7996,8975,7997,126797,
20071122,8323,7882,8012,8119,111811,
20071123,8240,7359,8035,7638,115807,
20071126,8160,7670,7751,8095,64884,
20071127,7914,7466,7751,7768,80403,
20071128,8070,7343,7914,7344,102787,
20071129,7587,7016,7587,7018,169642,
20071130,8070,7058,7139,8070,302764,
20071203,8159,7636,8159,7777,137537,
20071204,8281,7774,7774,7965,114164,
20071205,8404,7792,7980,8323,128280,
20071206,8444,8003,8403,8087,98804,
20071207,8159,7530,8159,7752,125885,
20071210,7987,7506,7750,7752,60566,
20071211,8894,7751,7833,8894,396308,
20071212,9138,8445,8689,8935,290717,
20071213,9057,8404,9057,8568,183681,
20071214,9628,8445,8608,9058,439752,
20071217,9178,8150,8893,8152,164841,
20071218,8363,7849,7955,8282,180026,
20071220,8404,7955,8404,8070,122620,
20071221,8282,7629,8241,7768,93015,
20071224,7987,7816,7840,7818,146247,
20071226,8525,7750,8011,7752,510035,
20071227,8135,7792,7906,7948,173016,
20071228,8036,7833,7882,7907,85038,
20080102,8241,7906,7914,7924,113024,
20080103,8035,7808,7913,8006,82920,
20080104,9137,7995,8035,8691,505828,
20080107,8608,8241,8282,8609,104012,
20080108,8812,8404,8731,8446,85247,
20080109,8363,8053,8160,8323,116628,
20080110,9547,8648,8648,9547,793641,
20080111,10158,9097,10035,9262,614024,
20080114,10117,9301,9301,10037,694544,
20080115,10322,9506,10199,9547,319953,
20080116,9709,9056,9219,9140,377013,
20080117,9424,8078,9301,8323,412872,
20080118,8403,7954,7995,8406,168886,
20080121,8362,7832,8322,7850,172197,
20080122,7669,6689,7506,6879,244345,
20080123,7383,6950,7155,7092,139344,
20080124,7531,7188,7197,7507,133633,
20080125,8118,7554,7644,8038,175014,
20080128,8118,7423,7848,7491,166499,
20080129,7833,7343,7719,7409,76039,
20080130,7742,7375,7465,7426,147253,
20080131,7588,7188,7400,7434,62632,
20080201,7661,7212,7588,7222,115444,
20080204,7726,7301,7465,7679,108135,
20080205,7677,7448,7677,7565,59691,
20080211,7466,7212,7343,7368,50721,
20080212,7547,7301,7383,7418,64389,
20080213,7604,7343,7507,7344,71005,
20080214,7587,7383,7506,7540,61789,
20080215,7832,7399,7423,7801,75184,
20080218,8119,7661,7914,7670,137229,
20080219,7913,7660,7832,7752,58700,
20080220,7742,7562,7742,7663,78179,
20080221,7710,7579,7677,7589,68226,
20080222,7522,7310,7522,7426,83090,
20080225,7645,7482,7572,7507,70491,
20080226,7809,7507,7514,7507,78503,
20080227,7711,7392,7588,7434,109606,
20080228,7775,7466,7466,7711,95638,
20080229,7751,7548,7751,7621,37161,
20080303,7466,7270,7466,7271,106914,
20080304,7466,7261,7343,7385,37205,
20080305,7416,7293,7383,7304,74651,
20080306,7417,7270,7270,7319,41624,
20080307,7197,6895,7139,6961,129400,
20080310,7065,6779,6869,6814,69083,
20080311,6828,6657,6723,6814,47942,
20080312,7833,7711,7711,7834,184758,
20080313,7750,7057,7734,7075,381532,
20080314,7506,7024,7220,7099,161873,
20080317,7832,7269,7335,7614,319378,
20080318,7711,7409,7523,7507,134612,
20080319,7808,7423,7710,7426,202729,
20080320,7383,7138,7301,7255,143507,
20080321,7423,7236,7359,7263,131654,
20080324,7408,7138,7383,7140,123001,
20080325,7507,7041,7163,7148,223009,
20080326,7237,6985,7156,7034,104226,
20080327,7211,7032,7138,7043,64368,
20080328,7138,6959,7016,7051,65638,
20080331,7130,6950,7048,7043,79565,
20080401,7351,7041,7107,7197,132908,
20080402,7424,7253,7343,7368,93034,
20080403,7449,7188,7343,7246,100153,
20080404,8036,7253,7270,7507,330672,
20080407,7906,7637,7760,7670,184000,
20080408,7750,7587,7669,7614,92133,
20080410,7652,7448,7554,7467,66383,
20080411,7538,7375,7538,7443,70982,
20080414,7424,7180,7319,7181,87848,
20080415,7791,7260,7260,7630,251458,
20080416,7816,7629,7702,7736,128623,
20080417,7841,7629,7833,7670,90694,
20080418,7774,7457,7750,7475,117555,
20080421,7597,7466,7563,7507,48379,
20080422,7661,7384,7514,7507,79705,
20080423,7824,7441,7449,7744,202299,
20080424,7751,7498,7719,7524,90253,
20080425,7710,7497,7603,7704,73193,
20080428,8648,7719,7760,8046,861792,
20080429,8403,7872,8011,8242,248966,
20080430,8484,8069,8322,8242,227577,
20080502,8853,8160,8241,8609,315315,
20080506,8853,8445,8812,8446,189542,
20080507,8811,8150,8403,8650,238657,
20080508,8812,8445,8567,8568,167083,
20080509,8647,8281,8566,8528,158337,
20080513,8730,8322,8525,8650,165834,
20080514,9627,8647,8771,9140,589565,
20080515,9464,8934,9259,9140,200089,
20080516,9464,9137,9301,9466,146949,
20080519,9710,9384,9587,9547,147854,
20080520,9546,9056,9464,9140,103136,
20080521,9178,8566,8893,8650,188141,
20080522,8974,8362,8525,8976,194139,
20080523,9098,8812,9057,8935,107995,
20080526,9259,8771,8934,8976,111586,
20080527,9423,8934,9137,8976,169388,
20080528,9872,9179,9301,9547,456732,
20080529,10158,9301,9546,9915,507686,
20080530,10077,9628,9873,9833,169117,
20080602,9912,9505,9709,9629,159863,
20080603,9790,9097,9464,9303,122427,
20080604,9423,9015,9342,9425,96271,
20080605,9749,9342,9464,9466,161543,
20080609,9260,8812,9220,9221,126993,
20080610,9424,8363,9343,8568,264971,
20080611,8689,8322,8566,8528,121769,
20080612,8812,8143,8282,8446,452314,
20080613,8975,8241,8731,8772,340141,
20080616,9138,8772,8894,9058,131816,
20080617,9912,8647,9056,9303,848593,
20080618,10689,9301,9301,9955,1371567,
20080619,10608,9996,10240,10118,487007,
20080620,10524,9954,10280,10241,394154,
20080623,11014,9912,10117,10364,725793,
20080624,10648,10159,10362,10486,244342,
20080625,11014,10361,10484,10405,633804,
20080626,10567,9547,10525,9547,287127,
20080627,9954,9383,9383,9466,389672,
20080630,9627,8811,9423,8976,224901,
20080701,9669,8975,9016,9547,266188,
20080702,9709,8811,9709,9303,229535,
20080703,9057,8526,8935,8935,134873,
20080704,9179,8567,8935,8609,128424,
20080707,8893,8281,8607,8364,207532,
20080708,8567,7212,8363,7507,298125,
20080709,7865,7180,7865,7246,184373,
20080710,7507,6895,6960,7507,118809,
20080711,7701,7342,7562,7614,126721,
20080714,7661,7384,7482,7458,139601,
20080715,7423,6853,7423,6855,151557,
20080716,7179,6812,7073,7026,154690,
20080717,7285,7065,7220,7099,81554,
20080718,7376,6895,7221,6895,114080,
20080721,7139,6936,6936,7034,104519,
20080722,7236,6723,6918,7230,166027,
20080723,7466,7253,7286,7295,111399,
20080724,7465,7204,7301,7426,114494,
20080725,7376,7286,7327,7312,69722,
20080728,7417,7139,7417,7205,62207,
20080729,7049,6797,7049,6846,110847,
20080730,6991,6697,6975,6814,83284,
20080731,7221,6837,6854,7148,83513,
20080801,7148,6919,7139,7034,55163,
20080804,7090,6805,6960,6936,82106,
20080805,7260,6894,6950,7189,108503,
20080806,8240,7220,7310,8242,568978,
20080807,8363,7931,8241,8021,316343,
20080808,8608,7914,7914,8446,303459,
20080811,8772,8282,8567,8282,203065,
20080812,8485,7858,8445,7858,180598,
20080813,8070,7670,7833,7793,133569,
20080814,7963,7816,7833,7882,76413,
20080818,8485,8053,8119,8070,239265,
20080819,8078,7637,7972,7834,96153,
20080820,7947,7678,7768,7736,67415,
20080821,7816,7097,7808,7099,170928,
20080822,7179,6738,7089,6855,166487,
20080825,7033,6854,6936,6895,76688,
20080826,6936,6748,6788,6822,62606,
20080827,6975,6738,6820,6928,57079,
20080828,7301,6853,7073,6855,82747,
20080829,7041,6756,7017,6756,84643,
20080901,6756,5744,6698,5744,242293,
20080902,5873,4976,5743,4978,218947,
20080903,5294,4576,5139,5263,119366,
20080904,5596,5065,5261,5312,105189,
20080905,5816,5041,5065,5712,132588,
20080908,6331,5775,5775,6129,132164,
20080909,6118,5914,6077,5965,43193,
20080910,6012,5833,5865,5917,36592,
20080911,6314,6028,6028,6202,54821,
20080912,6829,6283,6356,6683,137180,
20080916,6200,5800,5800,6112,73684,
20080917,6502,6208,6323,6390,59190,
20080918,6242,5997,6070,6161,50366,
20080919,6519,6364,6519,6405,35835,
20080922,6593,6266,6495,6283,66028,
20080923,6404,6151,6248,6365,35029,
20080924,6527,6283,6373,6349,33721,
20080925,6396,6265,6347,6292,25850,
20080926,6355,6077,6355,6226,38485,
20080929,6363,6143,6363,6251,24119,
20080930,6234,5736,5736,6234,41392,
20081001,6690,6200,6234,6234,79955,
20081002,6404,6233,6273,6243,34241,
20081006,6159,5612,6159,5712,53343,
20081007,5629,5261,5629,5614,42021,
20081008,5466,4813,5393,5018,52042,
20081009,5173,4699,4822,4708,177989,
20081010,4406,4006,4406,4406,93298,
20081013,4673,4372,4429,4676,25119,
20081014,5172,4878,4976,5141,64718,
20081015,5122,4861,5122,5002,28966,
20081016,4691,4259,4691,4259,47999,
20081017,4478,4046,4412,4227,38616,
20081020,4323,3957,4235,4235,43157,
20081021,4389,4186,4267,4235,47432,
20081022,4308,3761,4235,3998,19046,
20081023,3793,3397,3793,3493,77278,
20081024,3507,2969,3507,3093,78890,
20081027,3091,2629,2650,2652,129094,
20081028,3039,2264,2264,3039,174849,
20081029,3492,2917,3223,3182,158517,
20081030,3650,3344,3344,3636,53146,
20081031,3875,3508,3630,3696,67625,
20081103,3956,3670,3825,3876,141568,
20081104,3973,3723,3973,3876,60426,
20081105,4454,4046,4046,4456,280797,
20081106,4283,3794,4242,3794,140469,
20081107,4186,3279,3589,4186,102238,
20081110,4479,4022,4398,4121,76095,
20081111,4103,3898,4078,3901,50803,
20081112,3870,3605,3695,3754,52770,
20081113,3507,3275,3491,3354,79558,
20081114,3655,3426,3638,3435,40514,
20081117,3614,3345,3508,3574,31216,
20081118,3589,3353,3569,3411,27171,
20081119,3511,3237,3511,3289,34690,
20081120,3055,2814,2945,2856,40185,
20081121,3100,2737,2737,3019,41654,
20081124,3141,2928,3092,2987,34775,
20081125,3283,3011,3011,3019,60017,
20081126,3217,3034,3034,3215,58890,
20081127,3344,3140,3344,3264,74976,
20081128,3394,3214,3353,3272,35447,
20081201,3328,3182,3283,3182,33539,
20081202,3213,3010,3066,3093,45175,
