,High,Low,Open,Close,Volume,Adj Close
19980509,347,347,347,346,150,
19980511,347,347,347,346,0,
19980512,347,347,347,346,0,
19980513,319,319,319,319,40,
19980514,319,319,319,319,160,
19980515,319,295,319,294,650,
19980516,318,318,318,318,690,
19980518,319,319,319,319,850,
19980519,344,344,344,344,1,
19980520,340,319,319,339,101,
19980521,340,340,340,339,0,
19980522,313,313,313,312,100,
19980523,313,313,313,312,2000,
19980525,313,299,313,298,555,
19980526,299,299,299,298,0,
19980527,299,299,299,298,0,
19980528,291,291,291,291,550,
19980529,277,270,277,277,910,
19980530,277,277,277,277,1345,
19980601,277,277,277,277,0,
19980602,277,277,277,277,0,
19980603,277,277,277,277,0,
19980605,277,277,277,277,0,
19980608,277,277,277,277,0,
19980609,277,277,277,277,0,
19980610,277,277,277,277,0,
19980611,305,305,305,305,370,
19980612,305,305,305,305,100,
19980613,305,305,305,305,0,
19980615,305,305,305,305,0,
19980616,305,305,305,305,0,
19980617,298,298,298,298,0,
19980618,298,298,298,298,0,
19980619,298,298,298,298,0,
19980620,298,298,298,298,0,
19980622,298,298,298,298,0,
19980623,333,333,333,332,1,
19980624,333,333,333,332,0,
19980625,326,326,326,325,0,
19980626,326,326,326,325,0,
19980627,364,347,347,364,578,
19980629,347,347,347,346,0,
19980630,326,326,326,325,0,
19980701,319,319,319,319,0,
19980702,319,319,319,319,0,
19980703,319,319,319,319,0,
19980704,357,357,357,357,1,
19980706,316,316,316,315,1,
19980707,284,284,284,284,90,
19980708,291,257,291,256,617,
19980709,264,264,264,263,190,
19980710,295,277,295,277,520,
19980711,277,277,277,277,0,
19980713,277,277,277,277,0,
19980714,277,277,277,277,0,
19980715,291,277,277,291,2500,
19980716,305,257,257,305,2900,
19980718,340,312,312,339,398,
19980720,340,340,340,339,0,
19980721,347,347,347,346,1550,
19980722,368,361,361,367,1424,
19980723,368,366,368,367,3675,
19980725,361,361,361,360,0,
19980727,361,361,361,360,0,
19980728,361,340,340,360,570,
19980729,347,347,347,346,0,
19980730,347,312,347,346,980,
19980731,346,305,313,346,359,
19980801,346,346,346,346,0,
19980803,346,312,312,346,245,
19980804,354,354,354,353,1000,
19980805,354,354,354,353,2774,
19980806,361,361,361,360,1000,
19980807,368,368,368,367,1000,
19980808,368,368,368,367,1000,
19980810,368,368,368,367,1000,
19980811,347,347,347,346,0,
19980812,347,347,347,346,0,
19980813,320,320,320,319,0,
19980814,320,320,320,319,0,
19980817,320,320,320,319,0,
19980818,282,282,282,281,60,
19980819,315,315,315,314,90,
19980820,352,278,352,346,70,
19980821,347,312,312,346,448,
19980822,347,347,347,346,0,
19980824,378,368,368,378,502,
19980825,361,361,361,360,500,
19980826,347,318,318,317,503,
19980827,326,281,326,281,1399,
19980828,315,282,282,312,1834,
19980901,336,333,336,332,1080,
19980902,361,295,295,360,650,
19980903,361,361,361,360,500,
19980904,361,347,360,346,1220,
19980905,381,347,347,368,1484,
19980907,368,361,368,367,1446,
19980908,368,367,368,367,2100,
19980909,381,368,368,367,2300,
19980910,368,354,368,353,2670,
19980911,347,347,347,346,1100,
19980912,347,347,347,346,0,
19980914,361,361,361,360,1652,
19980915,368,368,368,367,391,
19980916,368,326,368,325,1001,
19980917,347,340,347,339,562,
19980918,340,340,340,339,15,
19980919,333,333,333,332,0,
19980921,333,333,333,332,0,
19980922,354,326,354,325,65,
19980923,326,326,326,325,0,
19980924,347,347,347,346,300,
19980925,347,347,347,346,0,
19980926,347,347,347,346,0,
19980928,347,347,347,346,0,
19980929,347,347,347,346,0,
19980930,347,347,347,346,0,
19981001,347,347,347,346,0,
19981002,340,340,340,339,0,
19981007,333,333,333,332,0,
19981008,333,333,333,332,0,
19981009,312,312,312,312,1000,
19981010,312,312,312,312,2,
19981012,333,333,333,332,704,
19981013,347,347,347,346,15,
19981014,375,374,375,373,135,
19981015,374,374,374,373,0,
19981016,374,374,374,373,60,
19981017,347,347,347,346,0,
19981019,347,347,347,346,91,
19981020,347,347,347,346,0,
19981021,347,347,347,346,0,
19981022,347,347,347,346,2200,
19981023,354,347,347,353,470,
19981024,353,347,353,346,1600,
19981026,326,326,326,325,300,
19981027,326,326,326,325,0,
19981028,326,326,326,325,0,
19981029,326,326,326,325,100,
19981030,365,365,365,364,1,
19981031,354,354,354,353,0,
19981102,312,312,312,312,10,
19981103,350,350,350,349,10,
19981104,313,313,313,312,300,
19981105,350,350,350,349,10,
19981106,375,354,375,373,140,
19981107,381,381,381,381,1,
19981109,375,347,347,353,1307,
19981110,368,347,368,346,2550,
19981111,319,319,319,319,10,
19981112,332,305,332,331,5672,
19981113,347,347,347,346,1000,
19981114,361,347,361,360,1572,
19981116,404,340,404,402,13892,
19981117,450,395,402,448,8253,
19981118,502,458,458,475,4813,
19981119,489,472,486,478,3235,
19981120,478,422,476,421,5789,
19981121,402,402,402,402,880,
19981123,402,388,388,402,1003,
19981124,388,388,388,388,1159,
19981125,435,388,430,388,1715,
19981126,388,383,388,382,670,
19981127,385,361,381,360,811,
19981128,404,361,368,361,919,
19981130,404,375,404,374,61,
19981201,381,381,381,381,1,
19981202,416,361,361,416,1979,
19981203,451,451,451,450,1,
19981204,397,397,397,397,100,
19981205,416,416,416,416,100,
19981207,444,416,416,436,1310,
19981208,451,416,416,416,7292,
19981209,430,416,416,416,3678,
19981210,430,416,430,416,2877,
19981211,423,402,423,416,2271,
19981214,416,402,402,416,2017,
19981215,451,416,416,450,740,
19981216,444,416,444,416,1356,
19981217,423,416,416,423,2827,
19981218,430,416,430,416,1045,
19981221,465,409,416,416,1105,
19981222,450,416,416,419,397,
19981223,465,418,418,450,6118,
19981224,451,451,451,450,21,
19981228,454,430,430,454,16958,
19990104,486,465,465,471,1209,
19990105,506,472,486,471,1960,
19990106,486,472,472,485,3393,
19990107,492,472,492,485,5890,
19990108,534,486,486,534,6950,
19990111,555,513,514,534,1900,
19990112,541,524,541,540,2153,
19990113,558,548,558,554,3674,
19990114,555,548,555,551,3517,
19990115,541,531,541,534,2117,
19990118,555,541,541,554,6619,
19990119,569,548,555,561,6724,
19990120,629,562,629,563,1304,
19990121,569,498,563,554,1503,
19990122,555,555,555,554,20,
19990125,555,492,555,554,12,
19990126,541,493,513,540,531,
19990127,534,486,486,534,701,
19990128,520,492,520,520,298,
19990129,520,486,520,520,662,
