,High,Low,Open,Close,Volume,Adj Close
20100526,6150,5050,5940,5050,9719716,
20100527,5260,4810,4895,5260,3282290,
20100528,6040,5410,5700,6040,5335436,
20100531,6800,5950,6370,6270,8062099,
20100601,6380,5760,6200,6170,5170131,
20100603,6710,6060,6180,6290,6588021,
20100604,6230,5710,6160,5730,2891046,
20100607,5670,5350,5500,5360,2069465,
20100608,5500,5250,5310,5320,1249687,
20100609,5560,5190,5400,5290,1349077,
20100610,5500,5170,5300,5200,2058762,
20100611,5480,5180,5270,5480,1831311,
20100614,5600,5090,5600,5120,2231409,
20100615,5230,5000,5130,5160,917648,
20100616,5210,5090,5200,5140,636237,
20100617,5210,5090,5110,5140,738730,
20100618,5310,5120,5230,5140,1068274,
20100621,5350,5120,5170,5340,761865,
20100622,5430,5020,5380,5020,1461389,
20100623,5080,4940,5000,5010,316071,
20100624,5060,4990,5030,5040,311776,
20100625,5160,4810,5130,4810,1489687,
20100628,4885,4640,4845,4700,953692,
20100629,4780,4380,4775,4400,1188214,
20100630,4255,4000,4205,4220,649348,
20100701,4380,4170,4200,4250,663605,
20100702,4360,4070,4310,4200,509906,
20100705,4290,4170,4245,4200,328396,
20100706,4195,4075,4150,4155,277276,
20100707,4460,4125,4160,4165,1192529,
20100708,4350,4150,4225,4300,745869,
20100709,4790,4400,4600,4415,2249487,
20100712,4575,4410,4420,4545,445706,
20100713,4870,4525,4590,4645,1061749,
20100714,4950,4605,4655,4790,1378323,
20100715,4880,4720,4875,4760,383764,
20100716,4790,4550,4790,4625,306830,
20100719,4680,4495,4510,4595,231967,
20100720,4870,4605,4635,4635,501392,
20100721,4705,4580,4680,4610,207920,
20100722,4660,4430,4635,4450,275240,
20100723,4530,4340,4520,4405,244151,
20100726,4485,4360,4400,4450,107326,
20100727,4495,4395,4495,4405,125962,
20100728,4445,4285,4410,4285,160976,
20100729,4400,4225,4285,4260,161733,
20100730,4335,4230,4250,4240,138116,
20100802,4365,4215,4220,4290,122623,
20100803,4345,4255,4285,4285,76964,
20100804,4440,4270,4310,4360,140189,
20100805,4390,4280,4310,4280,105260,
20100806,4300,4225,4285,4255,70912,
20100809,4375,4255,4255,4350,118331,
20100810,4420,4250,4420,4250,118059,
20100811,4295,3950,4255,4020,200760,
20100812,4125,3880,3930,3990,271991,
20100813,4070,3990,4000,4025,140638,
20100816,4060,3955,4025,4025,94038,
20100817,4045,3905,3930,3935,149275,
20100818,4040,3905,3915,3930,118575,
20100819,4010,3920,4000,3945,127061,
20100820,4220,3940,3945,4000,406323,
20100823,4100,3945,4100,3945,115222,
20100824,3950,3780,3940,3800,241711,
20100825,3760,3590,3730,3590,360362,
20100826,3670,3485,3615,3490,169598,
20100827,3490,3380,3470,3480,295173,
20100830,3565,3435,3505,3455,144859,
20100831,3530,3395,3455,3440,87336,
20100901,3530,3400,3440,3445,106339,
20100902,3510,3435,3450,3465,103687,
20100903,3530,3415,3530,3460,93849,
20100906,3615,3465,3490,3510,184745,
20100907,3605,3490,3490,3580,132615,
20100908,3845,3550,3580,3655,405898,
20100909,3695,3550,3690,3580,140710,
20100910,3720,3605,3690,3640,200624,
20100913,3690,3580,3690,3600,84211,
20100914,3645,3465,3610,3475,136749,
20100915,3495,3380,3440,3430,149083,
20100916,3510,3400,3435,3415,108926,
20100917,3480,3400,3450,3415,115105,
20100920,3480,3415,3415,3450,55806,
20100924,3500,3420,3460,3500,79416,
20100927,3585,3485,3570,3520,171795,
20100928,3545,3445,3520,3470,81721,
20100929,3690,3460,3550,3535,407318,
20100930,3540,3465,3525,3470,124382,
20101001,3500,3405,3470,3430,92021,
20101004,3600,3430,3440,3465,272695,
20101005,3475,3400,3445,3430,129116,
