,High,Low,Open,Close,Volume,Adj Close
20020422,63815,55509,55509,62936,8151792,
20020423,61372,57170,60688,57464,5384435,
20020424,59418,53065,58147,55705,4659371,
20020425,55118,50622,53750,51209,3913730,
20020426,54727,49156,50622,53555,4176615,
20020429,52186,50134,50134,51014,1990302,
20020430,51209,49059,50818,49841,1979486,
20020502,53652,50525,51502,53652,2250330,
20020503,55900,52381,52772,55705,2251005,
20020506,56388,53750,54336,53750,1882065,
20020507,54238,52381,52772,54239,1618200,
20020508,56975,55020,55606,56682,1969186,
20020509,58538,55704,58538,57170,2137841,
20020510,56779,52675,56486,53164,2103410,
20020513,53163,50622,53163,52773,1860162,
20020514,54531,49450,53359,50720,4260772,
20020515,52870,51111,51306,52577,3620990,
20020516,53261,50818,53261,50818,1828203,
20020517,53163,51404,51990,52284,1930347,
20020520,54140,52186,52284,53164,1574443,
20020521,52968,50818,52968,50818,1096791,
20020522,52772,50329,50818,52577,1286486,
20020523,52968,51599,51599,51795,884834,
20020524,53261,52186,52284,52675,962529,
20020527,52675,51404,51600,51600,561114,
20020528,52186,50329,51893,51307,768517,
20020529,50818,49743,50134,50330,879003,
20020530,50134,47348,49840,47593,1573716,
20020531,48081,44417,47593,44759,1374163,
20020603,47202,44417,44465,47202,1337000,
20020604,48375,45736,45736,47886,992645,
20020605,50525,48179,48765,50330,1406400,
20020607,51111,48765,49645,50623,1256349,
20020610,52381,51404,51404,51893,937283,
20020611,53456,51306,51893,53164,866321,
20020612,53750,51600,52284,53750,1179199,
20020614,53847,51111,53261,51405,1135273,
20020617,52381,51013,51697,51502,669410,
20020618,53065,51502,52479,51698,661952,
20020619,51990,48668,50915,48961,1049747,
20020620,49254,47593,48472,48864,678610,
20020621,50622,47202,47886,50623,609115,
20020624,50036,48668,49352,49450,755785,
20020625,50525,47690,49938,47789,959852,
20020626,46273,42511,46029,43147,1487344,
20020627,45150,43635,44954,44368,1079356,
20020628,48032,45150,45150,46909,1019887,
20020702,48619,45101,45443,48082,1093565,
20020703,49352,46811,47886,49157,898280,
20020704,49645,46518,49254,48131,2355642,
20020705,50525,48765,49156,49743,1702750,
20020708,51600,49450,51306,50330,1503084,
20020709,51209,49938,51111,51111,916712,
20020710,51111,49547,49938,50036,1423410,
20020711,49156,47104,48863,47740,1719396,
20020712,48765,47251,48326,47935,1574803,
20020715,47495,46127,46518,46274,1594802,
20020716,47300,45198,45198,45297,1160549,
20020718,45980,44368,44954,44466,1028315,
20020719,45443,43244,43586,45150,1279448,
20020722,44075,42315,43293,42316,1406494,
20020723,44026,41582,42022,43977,1486851,
20020724,45150,43537,43977,44466,2075429,
20020725,46518,43684,46518,43880,1598449,
20020726,44368,41045,43390,41632,1167565,
20020729,42462,40850,41729,41241,971983,
20020730,44075,42413,42511,43684,1557812,
20020731,44514,43244,43684,43684,695590,
20020801,44075,42462,43586,42902,526186,
20020802,42022,41240,41729,41925,723076,
20020805,41436,39384,41045,39433,923465,
20020806,38700,37087,38211,38114,2403205,
20020807,39384,38113,39090,38407,1483050,
20020808,38944,37673,38504,38211,1202966,
20020809,39970,38797,39677,38798,1231039,
20020812,40214,39042,39090,39335,1149533,
20020813,42022,39042,39335,42023,1263843,
20020814,43097,41045,41045,42707,1346726,
20020816,44123,42511,43928,42609,1290598,
20020819,43000,41729,42609,41730,957346,
20020820,43195,42413,42804,43195,1235192,
20020821,43977,42511,42511,43782,854454,
20020822,44954,43781,44075,44564,1225144,
20020823,45198,43390,44270,43880,746478,
20020826,43195,42364,42902,42511,557984,
20020827,42951,42218,42560,42511,552013,
20020828,42755,41827,41827,42023,483232,
20020829,42022,41192,41827,41730,656280,
20020830,43879,42022,42218,43880,1038846,
20020902,44954,43586,44954,44417,950326,
20020903,44417,43293,44417,43293,638205,
20020904,42755,42218,42413,42707,700802,
20020905,43097,42169,43000,42218,401928,
20020906,41925,41045,41631,41436,499623,
20020909,42218,40752,41827,40850,540424,
20020910,42071,40947,41045,42072,440780,
20020911,44123,42462,42462,43195,1062592,
20020912,44172,43000,43488,43977,923453,
20020913,43879,42951,43000,43586,637549,
20020916,44123,42462,43635,42511,612447,
20020917,44710,43244,44172,44710,1122859,
20020918,43928,43097,43195,43440,873919,
20020919,44368,43488,43488,43684,847213,
20020923,42902,40947,42902,41583,783269,
20020924,41143,39677,40605,40068,828612,
20020925,39677,36940,39188,37332,1720404,
20020926,38944,36159,38944,36355,2457487,
20020927,36892,34644,36452,35573,1858123,
20020930,34400,32592,34106,32592,2088284,
20021001,33325,31614,31614,33081,2468069,
20021002,34106,32347,33911,32348,1740229,
20021004,33129,31174,31272,33032,1309281,
20021007,32640,31272,32494,31273,1017947,
20021008,31956,30735,31370,31713,1621130,
20021009,31810,30148,31810,30344,1289740,
20021010,29904,27754,29611,29074,1841151,
20021011,30344,28731,29904,29807,1683930,
20021014,32298,30881,30881,31957,1412656,
20021015,33325,31761,32152,33081,2084278,
20021016,33422,32249,33276,32641,2132740,
20021017,34497,31761,32445,33569,2748603,
20021018,37380,34253,34888,36306,3042537,
20021021,36843,35279,36159,35328,1909319,
20021022,36452,33520,36159,34400,1798798,
20021023,36354,33911,34253,36355,1780991,
20021024,37038,35768,36745,36159,1606614,
20021025,36892,35328,35328,36159,941250,
20021028,38944,36940,37331,38798,1993431,
20021029,38895,38015,38602,38016,905590,
20021030,38015,35719,37820,36501,1122720,
20021031,37527,36012,37038,36159,812985,
20021101,36745,35279,35670,35817,802218,
20021104,38260,36501,36843,38114,1500678,
20021105,39090,37625,37918,38602,1832630,
20021106,39823,39042,39384,39775,1610790,
20021107,41143,39286,39628,39970,1859084,
20021108,40898,38944,39090,40899,1662229,
20021111,40703,38944,40703,39433,1057277,
20021112,38993,37869,37918,38651,1042978,
20021113,39286,38406,38748,38847,882291,
20021114,39970,38895,39188,38895,878020,
20021115,41045,40263,40410,40948,1273818,
20021118,41387,40361,41045,40655,794514,
20021119,41876,40263,40361,41876,1053574,
20021120,42951,41143,41827,42853,1211971,
20021121,45052,43781,43830,44173,2607034,
20021122,45589,44612,45443,45345,2464247,
20021125,47837,45150,45834,47691,1725034,
20021126,47690,46615,47690,47202,1978490,
20021127,48765,46469,46713,48082,1395927,
20021128,49352,45931,49352,45932,2341087,
20021129,47690,46029,46127,47398,1286371,
20021202,48814,47300,47495,48717,967961,
20021203,49254,48081,48814,49255,1333276,
20021204,48472,47153,48179,47398,1213149,
20021205,48179,45638,46909,48180,1572430,
20021206,48130,47202,47397,47886,899410,
20021209,48277,46518,47739,46811,987429,
