,High,Low,Open,Close,Volume,Adj Close
20000118,4505,4505,4505,4504,1420,
20000119,5039,5039,5039,5039,1210,
20000120,5643,4436,5643,5643,2376330,
20000121,6320,5671,5945,6320,918220,
20000124,7071,6403,6403,7070,249820,
20000125,7912,7326,7912,7911,372910,
20000126,8771,6970,8278,6969,1161000,
20000127,6138,6138,6138,6137,59170,
20000128,5625,5406,5406,5405,1655240,
20000131,5844,5030,5295,5249,1285440,
20000201,5579,5058,5579,5295,732090,
20000202,5918,5213,5351,5533,855870,
20000203,5707,5313,5670,5487,837080,
20000207,6146,5671,5753,6146,712680,
20000208,6411,5497,6192,5743,679470,
20000209,5991,5579,5753,5853,577720,
20000210,6549,5488,5671,6549,821460,
20000211,7326,7326,7326,7326,357330,
20000214,8204,6860,8204,8204,856000,
20000215,8313,7225,8158,7224,659390,
20000216,7583,6412,7134,7317,497670,
20000217,8196,7061,7061,8195,618210,
20000218,9146,8241,8287,9146,651660,
20000221,10245,8351,8863,10244,553020,
20000222,11434,9147,11342,10244,699600,
20000223,10884,9055,9878,9878,493600,
20000224,11022,10061,10336,11021,260640,
20000225,12303,11891,12303,12302,125470,
20000228,13629,11571,11891,11982,921660,
20000229,13400,11342,11982,13399,1199800,
20000302,15000,13720,14634,15000,824670,
20000303,15092,13217,13811,13262,812770,
20000306,13904,11708,13721,11708,416350,
20000307,11800,10336,10611,10976,387300,
20000308,12256,10336,10336,12256,418650,
20000309,13720,12622,13080,13720,578010,
20000310,14452,12622,14452,12988,831120,
20000313,13720,11890,12622,12530,353830,
20000314,12256,11067,11890,11615,301190,
20000315,12988,10976,11342,12988,671410,
20000316,12988,11616,11981,12804,324780,
20000317,13171,11296,13079,11295,181550,
20000320,10519,9971,9971,9970,140130,
20000321,9421,8781,8781,9146,221080,
20000322,10244,9146,9146,10060,210250,
20000323,10701,8872,10061,9146,492370,
20000324,10245,8918,9238,10244,245960,
20000327,11432,10289,10884,11432,277960,
20000328,12806,10611,10611,11708,746330,
20000329,11707,10335,11158,10335,158550,
20000330,10061,9238,9421,9740,129110,
20000331,10427,9147,9147,9604,143020,
20000403,10244,8460,9695,8597,147940,
20000404,8231,7573,7774,8039,147350,
20000406,8460,7865,8140,7956,82270,
20000407,8872,8058,8058,8872,143410,
20000410,9832,9146,9603,9832,236730,
20000411,8963,8689,8872,8688,89300,
20000412,8598,7775,7775,8460,83240,
20000414,8323,7683,7683,7911,63940,
20000417,6970,6970,6970,6969,33570,
20000418,7683,6174,7317,6859,208290,
20000419,7491,7134,7491,7408,117430,
20000420,8296,7500,7500,8295,195930,
20000421,9037,8058,8506,8872,166470,
20000424,8872,7875,8872,8049,99060,
