,High,Low,Open,Close,Volume,Adj Close
20110721,8250,6530,7680,6700,13193213,
20110722,7250,6370,6890,6780,3108508,
20110725,6870,6230,6800,6250,961059,
20110726,6470,6060,6250,6230,760205,
20110727,6420,6160,6230,6230,489044,
20110728,6520,6080,6120,6400,693052,
20110729,6470,6100,6400,6110,382788,
20110801,6220,6060,6210,6120,315685,
20110802,6170,5930,6090,6010,299936,
20110803,6060,5720,6060,5720,253694,
20110804,5830,5540,5730,5550,385695,
20110805,5260,4830,4880,5100,394951,
20110808,5070,4340,4825,4345,274242,
20110809,3995,3695,3805,3695,446831,
20110810,4240,3905,3905,4080,404519,
20110811,4180,3620,3620,4060,241667,
20110812,4615,4230,4400,4390,335305,
20110816,4770,4560,4690,4755,214024,
20110817,5170,4670,4760,5060,209701,
20110818,5130,4855,5110,4900,179148,
20110819,4765,4310,4510,4390,135858,
20110822,4495,4000,4205,4190,111700,
20110823,4480,4230,4230,4460,58445,
20110824,4720,4430,4530,4430,74876,
20110825,4670,4450,4580,4460,76596,
20110826,4720,4380,4380,4700,124119,
20110829,5150,4715,4715,5030,126929,
20110830,5300,4810,5090,4810,138304,
20110831,5040,4800,4895,4915,103177,
20110901,5300,4960,5090,4980,163973,
20110902,5120,4900,5120,4915,55517,
20110905,4980,4550,4745,4640,94802,
20110906,4590,4210,4350,4340,86389,
20110907,4980,4400,4400,4765,108606,
20110908,4930,4590,4930,4770,54008,
20110909,5260,4550,4790,5010,161091,
20110914,5190,4800,4925,4920,199298,
20110915,5160,4820,5030,5020,157383,
20110916,5600,5080,5120,5450,464903,
20110919,6260,5600,5600,6160,1378843,
20110920,6170,5840,5980,6060,450128,
20110921,6430,5950,6200,6070,487876,
20110922,5970,5490,5810,5500,312680,
20110923,5160,4840,5010,4845,314152,
20110926,5040,4120,4905,4120,356022,
20110927,4680,4150,4150,4520,174959,
20110928,4795,4520,4710,4520,112682,
20110929,5090,4350,4425,5000,167167,
20110930,5450,5000,5190,5200,115899,
20111004,5100,4660,4800,5040,87760,
20111005,5230,4760,5200,4760,75442,
20111006,5150,4820,5080,5090,95803,
20111007,5480,5100,5350,5300,138218,
20111010,5530,5250,5470,5450,105968,
20111011,5680,5400,5600,5400,91032,
20111012,5460,5150,5400,5220,86992,
20111013,5510,5270,5300,5320,94792,
20111014,5420,5000,5320,5110,103627,
20111017,5290,5140,5210,5220,78013,
20111018,5190,5000,5190,5100,83438,
20111019,5220,5050,5220,5080,74046,
20111020,5440,5030,5120,5060,173064,
20111021,5250,5060,5160,5230,109287,
20111024,5360,5070,5360,5100,168023,
20111025,5560,5060,5190,5320,319329,
20111026,5390,5220,5310,5240,156146,
20111027,5300,5110,5240,5200,180558,
20111028,5350,5010,5300,5070,110754,
20111031,5200,4910,5200,4910,118298,
20111101,5640,4780,4800,5200,971306,
20111102,5190,4985,5020,5120,112514,
20111103,5270,5030,5170,5080,105828,
20111104,5280,5080,5260,5160,140656,
20111107,5290,5100,5180,5100,106412,
20111108,5490,5130,5220,5350,662192,
20111109,6130,5420,5450,5930,1104509,
20111110,6100,5520,5710,5990,502940,
20111111,6580,5650,6440,5710,587047,
20111114,6180,5750,5810,6030,356392,
20111115,6180,5850,6010,6050,318781,
20111116,6250,5750,6250,5750,303521,
