,High,Low,Open,Close,Volume,Adj Close
19900103,5140,5140,5140,5140,2300,
19900104,5340,5160,5200,5340,15600,
19900105,5400,5320,5400,5340,10250,
19900106,5400,5340,5340,5360,17250,
19900108,5400,5340,5400,5400,20700,
19900109,5500,5360,5420,5380,33100,
19900110,5400,5300,5400,5360,13800,
19900111,5360,5320,5340,5320,8800,
19900112,5280,5280,5280,5280,900,
19900113,5220,5100,5100,5200,2850,
19900115,5160,5000,5160,5120,5800,
19900116,5100,4960,5100,5000,5450,
19900117,5080,4800,4820,4960,9400,
19900118,5000,4760,5000,5000,11900,
19900119,5000,4860,5000,5000,1450,
19900120,4960,4840,4960,4840,1050,
19900122,5020,4860,5000,4940,14950,
19900123,4960,4800,4900,4940,17800,
19900124,5140,5000,5000,5080,73350,
19900125,5200,5160,5180,5180,40800,
19900129,5200,5120,5180,5200,29600,
19900130,5220,5200,5220,5220,37400,
19900131,5220,5160,5200,5220,29000,
19900201,5280,5060,5060,5280,15550,
19900202,5260,5120,5200,5200,15950,
19900203,5200,5200,5200,5200,8250,
19900205,5200,5100,5200,5100,3750,
19900206,5200,5120,5200,5200,4350,
19900207,5200,5160,5200,5160,4600,
19900208,5300,5160,5160,5240,30250,
19900209,5280,5200,5280,5220,22850,
19900210,5220,5200,5220,5220,12350,
19900212,5220,5220,5220,5220,6600,
19900213,5260,5160,5160,5200,16150,
19900214,5260,5200,5200,5200,8550,
19900215,5200,5180,5200,5180,3600,
19900216,5120,5080,5120,5120,1600,
19900217,5200,5120,5120,5120,5750,
19900219,5180,5120,5120,5180,4900,
19900220,5140,5140,5140,5140,1000,
19900221,5160,5140,5160,5160,10700,
19900222,5180,5120,5180,5160,8950,
19900223,5200,5180,5200,5180,2600,
19900224,5180,5180,5180,5180,0,
19900226,5200,4980,4980,5080,6100,
19900227,5160,5000,5000,5140,2850,
19900228,5220,5100,5200,5180,18600,
19900302,3578,3522,3578,3536,2900,
19900303,3536,3509,3509,3536,400,
19900305,3536,3481,3536,3536,4550,
19900306,3509,3509,3509,3508,50,
19900307,3508,3438,3508,3494,1800,
19900308,3453,3453,3453,3453,0,
19900309,3453,3384,3384,3453,2050,
19900312,3550,3550,3550,3549,100,
19900313,3481,3412,3412,3480,1950,
19900314,3481,3453,3453,3453,4050,
19900315,3550,3453,3453,3453,11600,
19900316,3521,3452,3452,3522,300,
19900317,3509,3509,3509,3508,0,
19900319,3509,3509,3509,3508,0,
19900320,3453,3412,3453,3412,4050,
19900321,3453,3439,3439,3453,1800,
19900322,3452,3341,3341,3369,3650,
19900323,3412,3384,3384,3384,2500,
19900324,3384,3260,3384,3384,1900,
19900326,3398,3315,3315,3384,13150,
19900327,3383,3341,3341,3342,6250,
19900328,3314,3245,3314,3245,1600,
19900329,3341,3245,3245,3245,1250,
19900330,3315,3246,3246,3287,3550,
19900331,3260,3177,3177,3260,2150,
19900402,3288,3232,3232,3287,5050,
19900403,3315,3301,3301,3315,150,
19900404,3370,3315,3315,3356,4200,
19900406,3369,3314,3356,3342,12450,
19900407,3342,3315,3342,3315,2450,
19900409,3315,3315,3315,3315,950,
19900410,3384,3288,3384,3356,250,
19900411,3357,3218,3218,3356,1050,
19900412,3329,3246,3246,3287,600,
19900413,3341,3300,3300,3342,3100,
19900414,3245,3245,3245,3245,150,
19900416,3245,3217,3245,3217,3350,
19900417,3328,3217,3217,3217,500,
19900418,3272,3217,3217,3245,5300,
19900419,3177,3108,3177,3163,1100,
19900420,3163,3039,3039,3163,4150,
19900421,3148,3038,3038,3149,600,
19900423,3148,3148,3148,3149,0,
19900424,3149,3039,3108,3107,1550,
19900425,3067,3067,3067,3066,650,
19900426,2927,2927,2927,2928,0,
19900427,2887,2790,2790,2886,8450,
19900428,2831,2831,2831,2831,0,
19900430,2694,2694,2694,2693,0,
19900501,2803,2693,2747,2803,2950,
19900503,2942,2763,2763,2942,4150,
19900504,3080,2900,3080,3066,2000,
