,High,Low,Open,Close,Volume,Adj Close
19900103,5620,5620,5620,5620,50,
19900104,5820,5820,5820,5820,50,
19900105,6020,6020,6020,6020,5000,
19900106,6000,5900,6000,5900,3000,
19900108,5960,5940,5960,5940,650,
19900109,6000,5920,6000,5920,15500,
19900110,5920,5900,5920,5900,2200,
19900111,5880,5840,5880,5840,550,
19900112,5940,5940,5940,5940,100,
19900113,5800,5760,5800,5800,7950,
19900115,5800,5800,5800,5800,550,
19900116,5760,5760,5760,5760,0,
19900117,5560,5560,5560,5560,550,
19900118,5440,5400,5400,5440,5850,
19900119,5440,5400,5400,5400,4200,
19900120,5460,5360,5360,5460,3050,
19900122,5660,5600,5660,5600,2600,
19900123,5600,5500,5600,5580,1200,
19900124,5740,5620,5620,5740,6200,
19900125,5940,5760,5760,5800,25250,
19900129,5820,5800,5800,5820,4900,
19900130,5800,5780,5800,5800,8300,
19900131,5900,5780,5780,5900,1400,
19900201,5840,5840,5840,5840,50,
19900202,5820,5820,5820,5820,0,
19900203,5800,5800,5800,5800,5000,
19900205,5800,5800,5800,5800,350,
19900206,6000,5760,5760,6000,7550,
19900207,6140,6000,6000,6040,28800,
19900208,6260,6060,6060,6260,12950,
19900209,6360,6200,6320,6240,22700,
19900210,6240,6140,6240,6140,7300,
19900212,6140,6100,6140,6100,3450,
19900213,6100,6040,6040,6080,9300,
19900214,6080,5980,6060,6080,6300,
19900215,6280,6000,6100,6280,3200,
19900216,6400,6280,6280,6280,19600,
19900217,6240,6240,6240,6240,0,
19900219,6380,6180,6220,6280,22250,
19900220,6340,6280,6340,6300,9900,
19900221,6300,6300,6300,6300,2700,
19900222,6560,6300,6300,6560,17950,
19900223,6680,6520,6600,6540,13650,
19900224,6540,6400,6540,6400,11500,
19900226,6360,6320,6360,6360,5550,
19900227,6600,6400,6400,6440,5900,
19900228,6580,6400,6580,6400,1550,
19900302,8458,8380,8380,8383,1150,
19900303,8349,8349,8349,8355,0,
19900305,8455,8138,8138,8461,4000,
19900306,8296,8296,8296,8302,0,
19900307,8380,8087,8087,8383,600,
19900308,8326,8326,8326,8330,0,
19900309,8243,8139,8139,8249,3850,
19900312,8195,8167,8195,8198,5350,
19900313,8142,8142,8142,8145,6550,
19900314,8142,8117,8142,8118,1750,
19900315,8142,7903,7903,8145,1100,
19900316,8491,8146,8146,8489,9250,
19900317,8455,8455,8455,8461,0,
19900319,8380,8326,8380,8330,2950,
19900320,8455,8323,8323,8461,8900,
19900321,8544,8463,8544,8542,7750,
19900322,8595,8544,8544,8542,5500,
19900323,8455,8455,8455,8461,0,
19900324,8218,8218,8218,8224,250,
19900326,8218,8218,8218,8224,0,
19900327,8459,8195,8220,8198,11400,
19900328,8195,8195,8195,8198,1000,
19900329,8195,8195,8195,8198,50,
19900330,8544,8199,8199,8542,4500,
19900331,8882,8458,8458,8886,28450,
19900402,8774,8746,8774,8752,1550,
19900403,8882,8669,8722,8886,9800,
19900404,8884,8592,8884,8593,7500,
19900406,8455,8348,8348,8461,3200,
19900407,8455,8455,8455,8461,0,
19900409,8458,8113,8113,8330,5100,
19900410,8326,8326,8326,8330,0,
19900411,8645,8328,8328,8646,12550,
19900412,8983,8641,8641,8990,88600,
19900413,9330,8937,8937,9202,81800,
19900414,9197,8851,8851,8990,28800,
19900416,8802,8723,8802,8727,4500,
19900417,8852,8456,8456,8858,5250,
19900418,8799,8642,8642,8805,4600,
19900419,8725,8514,8725,8514,1750,
19900420,8195,8195,8195,8198,2900,
19900421,8455,8455,8455,8461,100,
19900423,8455,8455,8455,8461,0,
19900424,8723,8327,8327,8727,250,
19900425,8455,8455,8455,8461,0,
19900426,8326,8194,8194,8330,1050,
19900427,8455,8455,8455,8461,50,
19900428,8117,8117,8117,8118,0,
19900430,8117,8117,8117,8118,0,
19900501,8327,7799,7799,8198,11700,
19900503,8544,8303,8303,8542,21650,
19900504,8595,8249,8249,8542,22100,
